Length,Time
3,0.01
2,0.01
2,0.01
2,0.0
2,0.0
3,0.01
4,0.0
2,0.0
6,0.0
5,0.0
9,0.0
11,0.01
2,0.0
2,0.0
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
8,0.03
9,0.03
9,0.01
8,0.01
2,0.0
2,0.0
2,0.0
6,0.04
4,0.01
5,0.01
5,0.0
5,0.0
7,0.0
5,0.0
5,0.0
2,0.0
4,0.01
2,0.01
2,0.01
2,0.0
10,0.01
5,0.01
5,0.01
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
6,0.01
3,0.0
4,0.0
3,0.0
3,0.0
5,0.0
5,0.01
5,0.01
3,0.0
4,0.0
5,0.01
5,0.01
3,0.0
4,0.0
4,0.0
5,0.0
6,0.01
6,0.01
6,0.01
2,0.0
3,0.0
5,0.0
8,0.01
7,0.01
7,0.01
3,0.0
5,0.0
5,0.0
4,0.0
5,0.0
2,0.0
2,0.01
3,0.01
7,0.01
6,0.01
2,0.0
2,0.0
4,0.0
2,0.0
2,0.0
3,0.0
7,0.01
3,0.01
3,0.0
3,0.02
4,0.0
3,0.0
4,0.01
2,0.0
9,0.01
8,0.01
7,0.02
2,0.01
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.01
2,0.0
2,0.02
2,0.01
2,0.0
2,0.0
2,0.0
2,0.0
2,0.01
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.01
2,0.01
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
3,0.01
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.01
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.01
3,0.01
3,0.01
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.01
3,0.01
2,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.01
4,0.0
4,0.0
4,0.0
3,0.0
4,0.0
4,0.0
3,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.01
3,0.01
2,0.0
3,0.0
3,0.01
2,0.0
2,0.0
3,0.01
4,0.0
4,0.0
4,0.0
3,0.0
4,0.0
4,0.0
3,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.02
3,0.01
2,0.0
3,0.0
3,0.01
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
3,0.0
3,0.0
2,0.0
3,0.0
3,0.0
3,0.0
2,0.0
3,0.0
3,0.0
4,0.01
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
3,0.0
4,0.0
2,0.0
2,0.0
2,0.0
2,0.01
6,0.01
2,0.0
2,0.0
2,0.0
7,0.01
7,0.01
7,0.03
2,0.0
7,0.01
2,0.01
3,0.0
3,0.0
3,0.0
4,0.0
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
2,0.0
5,0.01
2,0.0
2,0.0
3,0.0
3,0.01
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.01
3,0.0
3,0.01
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.01
3,0.0
3,0.01
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
3,0.01
3,0.01
3,0.01
3,0.0
3,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.0
3,0.0
5,0.0
5,0.0
3,0.0
3,0.0
5,0.0
5,0.0
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.01
4,0.0
3,0.0
4,0.0
4,0.0
3,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.01
6,0.01
6,0.0
3,0.0
3,0.0
3,0.01
4,0.0
3,0.0
4,0.0
4,0.0
3,0.0
4,0.0
3,0.0
2,0.0
4,0.0
2,0.0
6,0.0
6,0.0
6,0.0
6,0.0
3,0.0
3,0.0
3,0.0
2,0.0
2,0.0
2,0.0
10,0.01
10,0.01
10,0.01
4,0.0
4,0.0
4,0.01
8,0.0
6,0.0
4,0.0
5,0.01
3,0.0
5,0.0
4,0.0
7,0.0
3,0.0
3,0.0
6,0.01
11,0.01
5,0.0
3,0.0
9,0.01
10,0.01
5,0.0
4,0.0
8,0.01
3,0.0
9,0.01
5,0.0
3,0.0
5,0.0
4,0.0
5,0.01
7,0.01
4,0.0
2,0.0
8,0.0
3,0.01
2,0.0
2,0.0
3,0.0
9,0.0
3,0.0
8,0.0
4,0.0
7,0.0
7,0.0
3,0.01
2,0.0
2,0.0
3,0.0
9,0.0
3,0.0
8,0.0
4,0.0
7,0.0
7,0.0
2,0.0
3,0.01
4,0.0
6,0.01
6,0.01
2,0.0
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.0
2,0.0
3,0.0
3,0.05
2,0.0
2,0.0
3,0.0
4,0.0
3,0.06
3,0.06
2,0.0
2,0.0
5,0.0
3,0.0
2,0.05
2,0.06
3,0.0
2,0.01
2,0.0
3,0.05
4,0.0
3,0.07
3,0.07
3,0.08
3,0.06
3,0.05
4,0.07
2,0.06
2,0.06
2,0.07
4,0.0
4,0.0
6,0.01
5,0.0
3,0.0
2,0.07
2,0.05
2,0.0
2,0.05
2,0.06
4,0.0
4,0.0
3,0.06
2,0.0
3,0.0
4,0.0
4,0.01
4,0.0
4,0.05
4,0.0
2,0.07
2,0.0
4,0.06
5,0.0
2,0.0
4,0.0
4,0.0
3,0.0
2,0.0
4,0.0
4,0.01
5,0.0
3,0.02
3,0.0
4,0.01
2,0.0
2,0.0
2,0.0
2,0.01
2,0.0
2,0.0
2,0.05
2,0.06
3,0.0
3,0.0
2,0.0
4,0.0
2,0.05
2,0.06
3,0.01
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.08
2,0.07
3,0.0
2,0.0
3,0.0
2,0.09
4,0.0
2,0.0
2,0.0
2,0.06
3,0.0
2,0.1
5,0.0
6,0.01
3,0.0
2,0.0
5,0.0
5,0.06
6,0.0
4,0.0
4,0.0
4,0.0
4,0.0
4,0.0
3,0.0
3,0.0
3,0.0
3,0.0
3,0.0
2,0.0
2,0.0
2,0.0
5,0.0
3,0.0
2,0.0
2,0.0
2,0.0
3,0.0
2,0.0
3,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
5,0.0
2,0.0
2,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
2,0.0
4,0.0
2,0.0
3,0.0
2,0.0
2,0.0
3,0.0
4,0.0
3,0.0
2,0.07
2,0.0
4,0.0
2,0.0
2,0.0
3,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.07
2,0.0
2,0.0
3,0.07
3,0.07
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.01
5,0.0
3,0.0
3,0.0
5,0.01
5,0.0
2,0.0
5,0.01
3,0.01
5,0.01
5,0.02
4,0.01
2,0.0
2,0.0
5,0.01
4,0.01
4,0.0
4,0.0
3,0.0
2,0.0
2,0.0
2,0.0
4,0.0
4,0.01
3,0.0
5,0.01
4,0.0
3,0.0
3,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
3,0.0
3,0.07
4,0.06
5,0.06
4,0.0
2,0.0
2,0.0
7,0.03
4,0.0
5,0.05
3,0.0
2,0.0
4,0.0
3,0.0
3,0.0
2,0.0
2,0.0
3,0.0
3,0.0
2,0.0
4,0.02
3,0.0
3,0.0
3,0.0
2,0.0
4,0.0
6,0.01
6,0.01
4,0.0
2,0.0
2,0.0
4,0.0
4,0.0
2,0.0
2,0.0
2,0.0
9,0.01
2,0.0
2,0.0
5,0.0
5,0.0
5,0.0
4,0.0
2,0.0
3,0.0
2,0.0
4,0.0
2,0.0
2,0.0
2,0.0
2,0.0
3,0.0
4,0.0
5,0.0
3,0.0
3,0.0
7,0.0
7,0.0
8,0.0
8,0.0
8,0.0
5,0.0
5,0.01
4,0.0
5,0.0
4,0.0
4,0.0
4,0.0
6,0.0
6,0.0
6,0.0
7,0.0
7,0.0
6,0.0
2,0.0
2,0.0
2,0.0
2,0.0
5,0.01
11,0.01
10,0.01
11,0.01
5,0.0
5,0.0
2,0.0
6,0.0
4,0.0
10,0.01
3,0.0
2,0.0
2,0.0
3,0.0
3,0.0
3,0.0
4,0.0
4,0.0
2,0.0
8,0.0
8,0.0
8,0.01
9,0.01
9,0.01
9,0.01
9,0.01
10,0.01
5,0.0
4,0.0
4,0.0
3,0.0
2,0.0
8,0.02
9,0.01
5,0.0
4,0.01
4,0.0
2,0.0
5,0.0
5,0.0
4,0.0
4,0.0
4,0.0
4,0.0
3,0.0
3,0.0
