Length,Time
3,0.01097941
2,0.00422883
2,0.00226998
2,0.0018692
2,0.00236702
3,0.00645351
4,0.0045867
2,0.00242209
6,0.00082636
5,0.00065756
9,0.00500083
11,0.03013277
2,0.00144529
2,0.00158501
4,0.00692725
2,0.00196862
2,0.00438786
2,0.00088811
2,0.00204444
2,0.00159907
2,0.00206232
2,0.00143051
2,0.00034809
8,0.03651214
9,0.0261724
9,0.6819191
8,0.25577998
2,0.00353289
2,0.00154138
2,0.00081968
6,0.01154613
4,0.00267458
5,0.00708294
5,0.00673938
5,0.00380325
7,0.00673509
5,0.00404739
5,0.00399423
2,0.00046325
4,0.01186514
2,0.00476837
2,0.01091385
2,0.00043035
10,0.00389886
5,0.04930973
5,0.04563117
4,0.05379653
2,0.00075102
2,0.00080395
2,0.00082088
2,0.00111198
2,0.00202751
2,0.00165057
2,0.00065589
2,0.00162697
6,0.00625658
3,0.00693941
4,0.00383592
3,0.00754666
3,0.00090981
5,0.00724506
5,0.01160049
5,0.00811386
3,0.0031538
4,0.00325704
5,0.01114202
5,0.00580812
3,0.0037272
4,0.00326371
4,0.00512624
5,0.00521755
6,0.00727201
6,0.00706077
6,0.01058459
2,0.00203896
3,0.00089788
5,0.00437641
8,0.011127
7,0.00888896
7,0.01041675
3,0.00355101
5,0.00380206
5,0.00372028
4,0.00477815
5,0.0085423
2,0.00439811
2,0.0048306
3,0.00898957
7,0.01797962
6,0.00700855
2,0.00244212
4,0.00259852
2,0.00047612
2,0.00044703
3,0.0005877
7,0.00834727
3,0.00335765
3,0.00266171
3,0.00760508
4,0.00490165
3,0.00243878
4,0.00437975
2,0.00180817
9,0.01112199
8,0.01021123
7,0.01731682
2,0.00959611
4,0.00056314
2,0.00208712
2,0.00102973
2,0.00041533
2,0.00109553
2,0.02144217
2,0.01387429
2,0.02032876
2,0.0362711
2,0.00413656
2,0.00037932
2,0.00397134
2,0.00034666
2,0.00982404
4,0.0005312
2,0.00214124
2,0.00107312
2,0.00041723
2,0.00106525
2,0.02388978
2,0.01413178
2,0.03295016
2,0.03415871
2,0.00410318
2,0.00032711
2,0.00391459
2,0.00030994
2,0.00140882
2,0.00163412
3,0.00157642
3,0.00640321
4,0.00034356
4,0.00033092
3,0.00044036
2,0.00173354
4,0.00416923
2,0.000319
6,0.00212097
6,0.00206947
3,0.00273037
3,0.00217342
3,0.00630498
4,0.00033522
4,0.00033259
3,0.00044012
2,0.0017786
4,0.00417256
2,0.00032377
6,0.00212789
6,0.00202703
3,0.00267863
3,0.00202203
2,0.00133371
2,0.00164509
3,0.0014894
3,0.00621152
4,0.00034952
4,0.00034952
3,0.00045776
2,0.00189233
4,0.00442624
2,0.00033927
6,0.00225735
6,0.00214958
3,0.01275897
3,0.00218773
3,0.00630188
4,0.0003624
4,0.00035191
3,0.00044894
2,0.00183821
4,0.0041759
2,0.00032687
6,0.00206518
6,0.00211024
3,0.00261688
3,0.00207806
2,0.00143838
2,0.00167394
3,0.00151014
3,0.00840259
3,0.00652599
2,0.00096607
3,0.00563669
3,0.00632644
2,0.00090837
2,0.00112939
3,0.01536202
4,0.0003376
4,0.00033092
4,0.00050116
3,0.00037003
4,0.00032043
4,0.00031972
3,0.00039434
4,0.00048304
3,0.00043797
2,0.00173593
4,0.0041995
2,0.00032926
6,0.00208378
6,0.00210047
6,0.00205231
6,0.00206375
3,0.00279927
3,0.00212693
3,0.01436234
3,0.00860596
2,0.00095201
3,0.00577474
3,0.00849342
2,0.00208569
2,0.00254917
3,0.01155162
4,0.00039554
4,0.00037718
4,0.00051928
3,0.00041342
4,0.00041056
4,0.00035882
3,0.00042939
4,0.0005362
3,0.00050163
2,0.00185156
4,0.00432563
2,0.00037241
6,0.00224519
6,0.00248861
6,0.00234556
6,0.00221181
3,0.0028398
3,0.0021379
3,0.02511048
3,0.007653
2,0.00095892
3,0.00564122
3,0.00999188
2,0.00095296
2,0.00116754
2,0.00241852
2,0.00047565
2,0.001544
5,0.00936723
2,0.00246048
2,0.00057721
2,0.00165033
5,0.00965548
2,0.0035553
2,0.00093889
2,0.00412321
5,0.01280189
2,0.0024364
2,0.0004673
2,0.00152898
5,0.00983882
2,0.00126767
2,0.00166178
3,0.00153756
3,0.00256968
2,0.00040627
3,0.00230646
3,0.00159335
3,0.00271368
2,0.00038981
3,0.0024035
3,0.0016427
4,0.0167191
2,0.0003047
2,0.0019722
3,0.00043726
2,0.00031018
2,0.0005362
2,0.00051665
2,0.00176954
3,0.00042844
2,0.00030708
3,0.01984811
4,0.0235014
2,0.00195122
2,0.00274038
2,0.00252604
2,0.01185822
6,0.02505016
2,0.00068784
2,0.00065494
2,0.00062466
