category,total,crash,signaled,false (pos/neg),category, tag
========,=====,=====,========,===============,========,========
correct,731,0,43,43,, 
 , , , ,12,Unsupported invocation,
 , , , ,10,Bad heuristics,
 , , , ,15,<missing>,
 , , , ,6,parse fail,
--------,-----,-----,--------,---------------,--------,--------
buggy,361,0,219,142,, 
 , , , ,2,Wrong semantic,
 , , , ,15,Unsupported invocation,
 , , , ,119,<missing>,
 , , , ,3,Incomplete annotations,
 , , , ,1,uniq without sort,
 , , , ,1,About globing; out of scope,
 , , , ,1,Existence Quantifier required for reasoning,
========,=====,=====,========,===============,========,========
total,1092,0, ,185,, 
