category,total,crash,signaled,false (pos/neg),category, tag
========,=====,=====,========,===============,========,========
correct,730,0,40,40,, 
 , , , ,30,Unsupported invocation,
 , , , ,3,<missing>,
 , , , ,1,Bad heuristics,
 , , , ,6,parse fail,
--------,-----,-----,--------,---------------,--------,--------
buggy,359,0,231,128,, 
 , , , ,108,<missing>,
 , , , ,2,Wrong semantic,
 , , , ,13,Unsupported invocation,
 , , , ,1,uniq without sort,
 , , , ,1,About globing; out of scope,
 , , , ,1,Existence Quantifier required for reasoning,
 , , , ,2,env variable not identified,
========,=====,=====,========,===============,========,========
total,1089,0, ,168,, 
