Length,Time
-1,0.0125792
-1,0.0043757
-1,0.00179744
-1,0.00154686
-1,0.00211239
-1,0.00523591
-1,0.00346613
-1,0.00210953
-1,0.00088453
-1,0.0007534
-1,0.00460815
-1,0.00968885
-1,0.00222731
-1,0.00113606
-1,0.0034523
-1,0.00128937
-1,0.00468755
-1,0.0008049
-1,0.00197029
-1,0.001647
-1,0.00198317
-1,0.00116563
-1,0.00032306
-1,0.02779388
-1,0.03158069
-1,0.03366971
-1,0.01526785
-1,0.00443935
-1,0.00083542
-1,0.00078773
-1,0.01035404
-1,0.00281334
-1,0.00388861
-1,0.00479054
-1,0.00279355
-1,0.01777315
-1,0.006145
-1,0.00268698
-1,0.00044203
-1,0.0265038
-1,0.00526977
-1,0.03009415
-1,0.00109291
-1,0.00675416
-1,0.00640345
-1,0.00494623
-1,0.0046165
-1,0.00146103
-1,0.00222135
-1,0.00219989
-1,0.00122905
-1,0.00204611
-1,0.00072122
-1,0.00073528
-1,0.00065613
-1,0.00646615
-1,0.00386143
-1,0.00227165
-1,0.0041039
-1,0.00080538
-1,0.01378846
-1,0.00459671
-1,0.00446749
-1,0.00397372
-1,0.00269747
-1,0.00679636
-1,0.005656
-1,0.0025866
-1,0.00201249
-1,0.00440454
-1,0.00438523
-1,0.00538516
-1,0.00602722
-1,0.0087533
-1,0.0031805
-1,0.00179911
-1,0.01624632
-1,0.01204729
-1,0.00818992
-1,0.00917006
-1,0.00391936
-1,0.00479531
-1,0.01673341
-1,0.00372219
-1,0.00524545
-1,0.00636888
-1,0.00719857
-1,0.01358485
-1,0.00708532
-1,0.0130434
-1,0.00137258
-1,0.00275445
-1,0.00039792
-1,0.00042701
-1,0.00055528
-1,0.0046525
-1,0.00287104
-1,0.00204778
-1,0.00595379
-1,0.00401759
-1,0.00233102
-1,0.00397539
-1,0.00183868
-1,0.00600672
-1,0.00597572
-1,0.00567913
-1,0.00665212
-1,0.00053954
-1,0.00422406
-1,0.00096178
-1,0.00043488
-1,0.00098467
-1,0.00484514
-1,0.00171232
-1,0.00630045
-1,0.00861812
-1,0.00399256
-1,0.00038266
-1,0.00395823
-1,0.0003202
-1,0.00659943
-1,0.00050044
-1,0.00212455
-1,0.00098729
-1,0.00043273
-1,0.00095868
-1,0.00491643
-1,0.00169659
-1,0.00518036
-1,0.00813627
-1,0.00401378
-1,0.00037789
-1,0.00392985
-1,0.00036645
-1,0.00143456
-1,0.00168157
-1,0.00109005
-1,0.00623512
-1,0.00034857
-1,0.00035286
-1,0.00045228
-1,0.00185871
-1,0.00419259
-1,0.00033712
-1,0.00216746
-1,0.00220346
-1,0.00287485
-1,0.00208688
-1,0.00610757
-1,0.00039649
-1,0.00035381
-1,0.0004859
-1,0.00180268
-1,0.00425553
-1,0.0003407
-1,0.00227141
-1,0.00218201
-1,0.00287294
-1,0.0021441
-1,0.00159359
-1,0.00166678
-1,0.00110412
-1,0.0062933
-1,0.00033641
-1,0.00032949
-1,0.00049996
-1,0.00193524
-1,0.00428033
-1,0.00035429
-1,0.002244
-1,0.00215292
-1,0.00296903
-1,0.00212669
-1,0.00599909
-1,0.00033927
-1,0.00033164
-1,0.0005002
-1,0.00176191
-1,0.00411344
-1,0.00033188
-1,0.0022037
-1,0.00209975
-1,0.0027864
-1,0.00217843
-1,0.00124097
-1,0.00164533
-1,0.00107765
-1,0.00834584
-1,0.00577879
-1,0.00129104
-1,0.00476456
-1,0.00493693
-1,0.00101233
-1,0.00137854
-1,0.01081491
-1,0.00035906
-1,0.00037813
-1,0.00050497
-1,0.0004549
-1,0.00035477
-1,0.00035214
-1,0.00043392
-1,0.00054312
-1,0.00048018
-1,0.00195003
-1,0.00458193
-1,0.00035906
-1,0.00233459
-1,0.00231695
-1,0.00231028
-1,0.00233722
-1,0.00289536
-1,0.00254059
-1,0.00647044
-1,0.00619602
-1,0.00102448
-1,0.00417495
-1,0.00568581
-1,0.00097752
-1,0.0012188
-1,0.01131916
-1,0.00036407
-1,0.00042486
-1,0.00063825
-1,0.00051522
-1,0.00047708
-1,0.00038099
-1,0.00040269
-1,0.0005312
-1,0.00052214
-1,0.00186181
-1,0.00421405
-1,0.00033069
-1,0.00221372
-1,0.00213099
-1,0.00234222
-1,0.00236821
-1,0.00276351
-1,0.00216484
-1,0.00656128
-1,0.00549722
-1,0.00096178
-1,0.00404096
-1,0.00573969
-1,0.00094438
-1,0.00119305
-1,0.00249481
-1,0.00044155
-1,0.00105309
-1,0.02763152
-1,0.00242114
-1,0.00046062
-1,0.00099063
-1,0.00974131
-1,0.00240374
-1,0.00047135
-1,0.00097823
-1,0.00972581
-1,0.00235772
-1,0.00045347
-1,0.0011096
-1,0.00950575
-1,0.00158715
-1,0.00394034
-1,0.00116467
-1,0.00219274
-1,0.00035739
-1,0.00244093
-1,0.00161099
-1,0.0024724
-1,0.00036216
-1,0.00241733
-1,0.00161028
-1,0.01272082
-1,0.00031042
-1,0.00212669
-1,0.0004313
-1,0.00029159
-1,0.00059199
-1,0.0005188
-1,0.00179076
-1,0.00040817
-1,0.00029159
-1,0.00368881
-1,0.00566816
-1,0.00145864
-1,0.00275493
-1,0.00448513
-1,0.02937794
-1,0.00830936
-1,0.0006938
-1,0.00068092
-1,0.00064373
-1,0.0122385
-1,0.01255846
-1,0.01280475
-1,0.00114155
-1,0.01245809
-1,0.00600529
-1,0.00283694
-1,0.00220942
-1,0.00360131
-1,0.00569415
-1,0.00319076
-1,0.00470662
-1,0.00098014
-1,0.00200486
-1,0.02162457
-1,0.00448942
-1,0.00102496
-1,0.00214958
-1,0.01192737
-1,0.00249672
-1,0.000494
-1,0.00103474
-1,0.01008034
-1,0.00236726
-1,0.00044227
-1,0.00096989
-1,0.00958371
-1,0.0012579
-1,0.00167489
-1,0.00113678
-1,0.00563955
-1,0.00047779
-1,0.00180006
-1,0.00408983
-1,0.00034356
-1,0.00218296
-1,0.00209117
-1,0.00278211
-1,0.00221705
-1,0.00514603
-1,0.000453
-1,0.00175762
-1,0.00406885
-1,0.00032496
-1,0.0021286
-1,0.00206304
-1,0.00265861
-1,0.0021069
-1,0.00124025
-1,0.0132854
-1,0.00261927
-1,0.01013851
-1,0.00112057
-1,0.00671482
-1,0.00411248
-1,0.00037098
-1,0.00224352
-1,0.00216484
-1,0.00210929
-1,0.00267458
-1,0.00215793
-1,0.00618792
-1,0.00046468
-1,0.00418782
-1,0.00404787
-1,0.00031495
-1,0.00211406
-1,0.00205517
-1,0.00208688
-1,0.00264859
-1,0.00209689
-1,0.00137115
-1,0.00163722
-1,0.00108719
-1,0.00289559
-1,0.00044227
-1,0.00267982
-1,0.00187063
-1,0.00294352
-1,0.0004437
-1,0.00259304
-1,0.00182295
-1,0.00121593
-1,0.00162148
-1,0.00109863
-1,0.00269032
-1,0.00167203
-1,0.00111008
-1,0.009619
-1,0.0004735
-1,0.00036454
-1,0.00033736
-1,0.00032473
-1,0.0003891
-1,0.00053716
-1,0.00046945
-1,0.00173616
-1,0.00405598
-1,0.00032258
-1,0.00212264
-1,0.00207019
-1,0.00217438
-1,0.00206733
-1,0.00269389
