category,total,crash,signaled,false (pos/neg),category, tag
========,=====,=====,========,===============,========,========
correct,730,0,80,80,, 
 , , , ,9,Bad heuristics,
 , , , ,30,Unsupported invocation,
 , , , ,35,<missing>,
 , , , ,6,parse fail,
--------,-----,-----,--------,---------------,--------,--------
buggy,359,0,311,48,, 
 , , , ,2,Wrong semantic,
 , , , ,30,<missing>,
 , , , ,13,Unsupported invocation,
 , , , ,1,uniq without sort,
 , , , ,1,About globing; out of scope,
 , , , ,1,Existence Quantifier required for reasoning,
========,=====,=====,========,===============,========,========
total,1089,0, ,128,, 
