command_name,invocation,classification
awk,"awk ""{print \$2,\$1}""",unclassified
awk,"awk -F, ""
!seen[$1 $2 $4] { seen[$1 $2 $4] = 1; hours[$1 $4]++; bus[$4] = 1; day[$1] = 1; }
END {
   PROCINFO[\""sorted_in\""] = \""@ind_str_asc\""
   for (d in day)
     printf(\""\t%s\"", d);
   printf(\""\n\"");
   for (b in bus) {
     printf(\""%s\"", b);
     for (d in day)
       printf(\""\t%s\"", hours[d b]);
     printf(\""\n\"");
   }
}"" >out",unclassified
awk,"awk ""{print $9}"" ${tempfile}",unclassified
awk,"awk ""($9 ~ /404/)"" ${tempfile}",unclassified
awk,"awk ""{print $7}""",unclassified
awk,"awk ""($9 ~ /502/)"" ${tempfile}",unclassified
awk,"awk -F\"" ""($2 ~ \""/wp-admin/install.php\""){print $1}"" ${tempfile}",unclassified
awk,"awk ""{print $1}""",unclassified
awk,"awk -F\"" ""($2 ~ \""^GET .*.php\"")""",unclassified
awk,"awk -F\"" ""{print $2}"" ${tempfile}",unclassified
awk,"awk ""{print $2}""",unclassified
awk,"awk -F\"" ""($2 ~ \""ref\""){print $2}"" ${tempfile}",unclassified
awk,"awk ""{ total += \$1; count++ } END { print total/count }"" >${statistics_dir}/average.txt",unclassified
awk,"awk ""{ print $1 }""",unclassified
awk,"awk ""{ print $1 }"" >""${file}.hash""",unclassified
awk,"awk ""\$1 >= 2 {print \$2}""",unclassified
awk,"awk ""{print NF}"" >${TEMPDIR}/${input}.syl",unclassified
awk,"awk ""\$1 >= 1000"" >${OUT}/${input}.out",unclassified
awk,"awk -v var=""exon"" ""BEGIN {FS=\""\t\"";OFS=\""\t\""} {if ($3==var) {print $1, $4-1,$5, \"".\"", \"".\"", $7, $3, $9}}""",unclassified
awk,"awk ""{print \$2, \$0}""",unclassified
awk,"awk ""length <= 45""",unclassified
awk,"awk ""{\$1=\$1};1""",unclassified
awk,"awk ""length >= 16""",unclassified
awk,"awk ""$1 < 6 {v += $1; c++} END {print v/c}""",unclassified
awk,"awk ""$1 < 6 {v += $1; c++} END {print v/c, \""words\""}""",unclassified
awk,"awk ""NF{print $NF; exit}""",unclassified
awk,"awk ""NF"" /workspace/dir1/a.txt",unclassified
awk,"awk -F/ ""{print NF, $0}""",unclassified
awk,"awk ""{print $1}""",unsupported
awk,"awk -F/ ""{print $NF}""",unclassified
awk,"awk -F. ""{if (NF>1) print $NF}""",unclassified
awk,"awk ""{s+=$1} END {print s}""",unclassified
awk,"awk ""{for (i=1; i<=NF; i++) if ($i ~ /([0-9]{1,3}\.){3}[0-9]{1,3}/) print $i}"" /etc/networks",unsupported
awk,"awk -F/ ""{print tolower($NF)}""",unclassified
awk,"awk ""{print} END {print NR}""",unclassified
awk,"awk -F ""[^0-9]*"" ""{print $2}""",unclassified
awk,"awk ""END { print $1/(NR-1) }""",unclassified
awk,"awk ""{print $2 \"" \"" $1}""",unclassified
awk,"awk -F. ""NF>1 {ext=tolower($NF); if (length(ext) >= 3 && length(ext) <= 6) print ext}""",unclassified
awk,"awk ""{print tolower($0)}""",unclassified
awk,"awk ""{print $0}"" /workspace/files.txt",unclassified
awk,"awk ""{sum += $1} END {print sum}""",unclassified
awk,"awk ""{print $5}""",unclassified
awk,"awk ""NR==2 {print $5}""",unclassified
awk,"awk -F""-"" ""{print $2}""",unclassified
awk,"awk ""NR==2 {print $1}""",unclassified
awk,"awk -F= ""{if($1 ~ /H/) print $1}""",unclassified
awk,"awk -F= ""{print $1}""",unclassified
awk,"awk -F"" "" ""{print $1}""",unclassified
awk,"awk ""{print $1}"" >total_size.txt",unclassified
awk,"awk ""{print $4}""",unclassified
awk,"awk ""END {print}""",unclassified
awk,"awk -F / ""{print $NF}""",unclassified
awk,"awk ""!/^[[:space:]]*\$/ {++i} END{print i}""",unclassified
awk,"awk ""{ print $1}""",unclassified
awk,"awk ""/^[ \t]*[a-z]+/ { print $1 }""",unclassified
awk,"awk ""/^ +[a-z\-:]+/ { print $1 }""",unclassified
awk,"awk -F""-""",unclassified
awk,"awk ""{w = $0; sub(\"".*/\"", \""\"", w); sub(\""_[0-9_][0-9_]*.*\"", \""\"", w);} !a[w]++""",unclassified
