rtpp_det_time,rtpp_det_size,rtpp_min_time,rtpp_min_size,rtpp_inc_time,rtpp_inc_a_size,rtpp_inc_b_size,wofst_det_time,wofst_det_size,wofst_min_time,wofst_min_size,wofst_inc_time,wofst_inc_a_size,wofst_inc_b_size
,,,,4.124641418457031e-05,1.0,1.0,,,,,5.3882598876953125e-05,1.0,1.0
5.030632019042969e-05,2.0,5.507469177246094e-05,2.0,4.4345855712890625e-05,2.0,1.0,4.267692565917969e-05,2.0,4.1484832763671875e-05,2.0,6.890296936035156e-05,2.0,1.0
0.00020003318786621094,26.0,0.0008428096771240234,26.0,0.00010776519775390625,26.0,15.0,0.0001881122589111328,26.0,0.0008425712585449219,26.0,6.628036499023438e-05,26.0,15.0
2.8371810913085938e-05,1.0,8.130073547363281e-05,1.0,1.621246337890625e-05,1.0,1.0,1.5497207641601562e-05,1.0,5.245208740234375e-05,1.0,2.6226043701171875e-05,1.0,1.0
1.0728836059570312e-05,2.0,3.3855438232421875e-05,2.0,,,,1.2874603271484375e-05,2.0,2.5033950805664062e-05,2.0,,,
,,,,1.621246337890625e-05,1.0,1.0,,,,,3.910064697265625e-05,1.0,1.0
1.7881393432617188e-05,2.0,3.0279159545898438e-05,2.0,2.2411346435546875e-05,2.0,1.0,3.147125244140625e-05,2.0,5.8650970458984375e-05,2.0,2.193450927734375e-05,2.0,1.0
0.0007474422454833984,18.0,0.0005667209625244141,33.0,7.963180541992188e-05,16.0,1.0,0.0007481575012207031,18.0,0.0007653236389160156,33.0,6.508827209472656e-05,16.0,1.0
2.3603439331054688e-05,1.0,5.7220458984375e-05,1.0,1.71661376953125e-05,1.0,1.0,1.71661376953125e-05,1.0,4.315376281738281e-05,1.0,2.6702880859375e-05,1.0,1.0
1.2874603271484375e-05,1.0,2.2172927856445312e-05,1.0,2.002716064453125e-05,1.0,1.0,1.9073486328125e-05,1.0,3.4809112548828125e-05,1.0,3.504753112792969e-05,1.0,1.0
2.4557113647460938e-05,3.0,4.1961669921875e-05,3.0,2.2411346435546875e-05,3.0,3.0,4.696846008300781e-05,3.0,6.723403930664062e-05,3.0,4.1484832763671875e-05,3.0,3.0
2.7179718017578125e-05,3.0,4.553794860839844e-05,3.0,,,,2.9087066650390625e-05,3.0,6.29425048828125e-05,3.0,,,
