command_name,invocation,pattern,ast_repr,is_pure_string,has_references
grep,"grep ""^SN""",^SN,"Concatenate([StartAnchor(), Literal('S'), Literal('N')])",False,False
grep,"grep -Ev ""(com|net|org|gov|mil|arpa)"" 2>/dev/null",(com|net|org|gov|mil|arpa),"Union(Union(Union(Union(Union(Concatenate([Literal('c'), Literal('o'), Literal('m')]), Concatenate([Literal('n'), Literal('e'), Literal('t')])), Concatenate([Literal('o'), Literal('r'), Literal('g')])), Concatenate([Literal('g'), Literal('o'), Literal('v')])), Concatenate([Literal('m'), Literal('i'), Literal('l')])), Concatenate([Literal('a'), Literal('r'), Literal('p'), Literal('a')]))",False,False
grep,"egrep -i ""POST /|GET /|Host:"" 2>/dev/null",POST /|GET /|Host:,"Union(Union(Concatenate([Literal('P'), Literal('O'), Literal('S'), Literal('T'), Literal(' '), Literal('/')]), Concatenate([Literal('G'), Literal('E'), Literal('T'), Literal(' '), Literal('/')])), Concatenate([Literal('H'), Literal('o'), Literal('s'), Literal('t'), Literal(':')]))",False,False
grep,"egrep -i ""POST /|pwd=|passwd=|password=|Host:"" 2>/dev/null",POST /|pwd=|passwd=|password=|Host:,"Union(Union(Union(Union(Concatenate([Literal('P'), Literal('O'), Literal('S'), Literal('T'), Literal(' '), Literal('/')]), Concatenate([Literal('p'), Literal('w'), Literal('d'), Literal('=')])), Concatenate([Literal('p'), Literal('a'), Literal('s'), Literal('s'), Literal('w'), Literal('d'), Literal('=')])), Concatenate([Literal('p'), Literal('a'), Literal('s'), Literal('s'), Literal('w'), Literal('o'), Literal('r'), Literal('d'), Literal('=')])), Concatenate([Literal('H'), Literal('o'), Literal('s'), Literal('t'), Literal(':')]))",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -c ""^....$"" >${OUT}/${input}.out0",^....$,"Concatenate([StartAnchor(), Dot(), Dot(), Dot(), Dot(), EndAnchor()])",False,False
grep,"grep -v ""^\s*$""",^\s*$,"Concatenate([StartAnchor(), Repeat(Literal(' '), 0, None), EndAnchor()])",False,False
grep,"grep -c ""^....$"" >${OUT}/${input}.out1",^....$,"Concatenate([StartAnchor(), Dot(), Dot(), Dot(), Dot(), EndAnchor()])",False,False
