Benchmark,Collection,Tag,Buggy?,Correct Result?,Time(s),RunTime Error,Category,Notes,Pipeline
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/Bad label/ladder4.sh,evaluation_pipelines/Bad label,,True,True,0.00185251s,,Bad label,,find | xargs stat -c %Y | sort -n | head -3
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/Bad label/ladder6.sh,evaluation_pipelines/Bad label,,True,True,0.00155282s,,Bad label,,ls *.log | xargs rm
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/0.sh,evaluation_pipelines/invalid,,True,True,0.00293970s,,,,"grep -oE ""[0-9A-Fa-f]+"" a.txt | tr A-F a-f | sort -n"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/1.sh,evaluation_pipelines/invalid,,True,True,0.00224924s,,,,seq 2 100 | xargs -n 1 expr 1 + | grep grep
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/2.sh,evaluation_pipelines/invalid,,True,True,0.00313425s,,,,"grep -oE ""[0-9a-f]+"" a.txt | grep -vwE ""0"" | sort -n"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/2_1.sh,evaluation_pipelines/invalid,,True,True,0.00154090s,,,,"grep -oE ""[0-9a-f]+"" a.txt | sort -n"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/3.sh,evaluation_pipelines/invalid,,True,True,0.00222564s,,,,"seq 1 10 | sed ""s;^;;"" | xargs curl | wc -l"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/4.sh,evaluation_pipelines/invalid,,True,True,0.00986671s,,,,"docker network inspect ${network_id} | grep ""EndpointIP\\\|VIP"" | cut -d"":"" -f2 | sort | uniq | sort -rn"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/5.sh,evaluation_pipelines/invalid,,True,True,0.00507712s,,,,"cat a.txt | tr -cs A-Za-z ""\\n"" | tr A-Z a-z | sort | uniq | sort -rn"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/6.sh,evaluation_pipelines/invalid,,True,True,0.00140190s,,,,"seq 10 | grep -oE ""[0-9a-f]+"" | head -n 5 | sort -n"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder1.sh,evaluation_pipelines/invalid,,True,True,0.00082803s,,,,cat foo | cp bar
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder3.sh,evaluation_pipelines/invalid,,True,True,0.00385261s,,,,echo -n ${PATH} | xargs stat -c %x
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder4_1.sh,evaluation_pipelines/invalid,,True,True,0.00171924s,,,,find | xargs stat -c %y | sort -n | head -3
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder4_2.sh,evaluation_pipelines/invalid,,True,True,0.00168943s,,,,find | xargs stat -c %Y | sort | head -3
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder6.sh,evaluation_pipelines/invalid,,True,True,0.00577712s,,,,ls -l *.log | xargs rm
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/invalid/ladder7.sh,evaluation_pipelines/invalid,,True,False,0.00107431s,,Wrong semantic,,date +%S | xargs expr 2 +
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/3.sh,evaluation_pipelines/valid,,False,True,0.00718379s,,,,"seq 1 10 | sed ""s;^;http://data\\.com/chunk/;"" | xargs curl | wc -l"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/4.sh,evaluation_pipelines/valid,,False,True,0.01079583s,,,,"docker network inspect ${network_id} | grep ""EndpointIP\\\|VIP"" | cut -d"":"" -f2 | sort | uniq -c | sort -rn"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/5.sh,evaluation_pipelines/valid,,False,True,0.00576878s,,,,"cat a.txt | tr -cs A-Za-z ""\\n"" | tr A-Z a-z | sort | uniq -c | sort -rn"
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/ladder1.sh,evaluation_pipelines/valid,,False,True,0.00074935s,,,,cat foo | xargs cp bar
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/ladder3.sh,evaluation_pipelines/valid,,False,False,0.00170684s,,Unsupported invocation,,echo -n ${PATH} | xargs -d : stat -c %x
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/ladder7.sh,evaluation_pipelines/valid,,False,True,0.00113606s,,,,date +%s | xargs expr 2 +
https://github.com/brown-cs2952r/StreamTypes/blob/main/evaluation_pipelines/valid/ladder8.sh,evaluation_pipelines/valid,,False,True,0.00114322s,,,,seq 10 | head -3 | xargs -n 1 expr 2 +
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/12.sh_Pcat-1-tr-_e94c7360d146727f8cea61088329242b_M11.sh,full_benchmark/curated_mutants/detectable,,True,False,0.00574064s,,Unsupported invocation,"dropped grep, should be detectable","cat ${1} | tr "" "" ""\\n"" | cut -d ""."" -f 2 | cut -c 1-1 | tr ""[a-z]"" ""P"" | sort -r | uniq | head -n 3 | tail -n 1"
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_156_gold1.sh_Pecho-http-ww_f50c102f66c147024f85c1b1ba6817fa_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00104332s,,,,"cut -d""/"" -f3 | echo ""http://www.google.com"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_156_gold2.sh_Pecho-http-ww_02c4a63ceddd2addf37a03f1fb293390_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00198245s,,,,"sed -E ""s|https?://([^/]+).*|\\1|"" | echo ""http://www.google.com"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M13.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00146198s,,,,yes | head -n10 | grep . | cut -d: -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M16.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00192332s,,,,yes | head -n10 | grep -n . | cut -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M2.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00146556s,,,,yes | head -n10 | cut -d: -f1 | grep -n . | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_160_gold1.sh_Pyes-head-n10_7a4005c43ecf3fe5ff51ee4633d934a9_M6.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00112700s,,,,yes | head -n10 | cut -d: -f1 | paste -sd:
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_164_gold1.sh_Pecho-Hello-w_c9ec3c3d481dca015a14816cb0e84673_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00085020s,,,,"tr -cd "";0-9"" | echo ""  Hello world;876	  """
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_164_gold2.sh_Pecho-Hello-w_fa4852946002af878f2a6fede3f9123a_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00102639s,,,,"sed ""s/[^0-9;]//g"" | echo ""  Hello world;876     """
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_165_gold1.sh_Pecho-Hello-w_96f21bc281f02ee23fd8960bc2182331_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00187516s,,,,"sed -e ""s/^[ \\t]*//"" | echo ""  Hello world!	  "" | sed -e ""s/[ \\t]*\$//"""
https://github.com/brown-cs2952r/StreamTypes/blob/main/full_benchmark/curated_mutants/detectable/intercode_165_gold2.sh_Pecho-n-Hell_52100d70d8adb9ee20caef7d874a7501_M0.sh,full_benchmark/curated_mutants/detectable,,True,True,0.00245810s,,,,"sed ""s/^[ \\t]*//;s/[ \\t]*\$//"" | echo -n ""  Hello world!    """
